car_description,car_name,km_traveled,value,year
1.5 Exl 16v Automático,Honda Fit,32.414,R$ 95.870,2019
2.0 16v Longitude Automático,Jeep Compass,59.870,R$ 120.970,2018
1.6 Mpi Essence 16v Manual,Fiat Grand siena,80.660,R$ 48.870,2015
1.6 16v Pulse Plus Automático,Hyundai Creta,63.732,R$ 94.870,2018
1.0 200 Tsi Total Sense Automático,Volkswagen T-cross,15.620,R$ 109.970,2020
1.4 Tfsi Attraction S Tronic,Audi Q3,70.404,R$ 120.470,2017
1.0 Comfort Style 12v Manual,Hyundai Hb20s,76.383,R$ 59.070,2017
1.6 Mpfi 16v Automático,Hyundai I30,64.136,R$ 65.970,2014
2.0 16v Sport Automático,Jeep Compass,35.127,R$ 120.970,2019
2.0 16v Flexone Sport Cvt,Honda Civic,36.060,R$ 125.870,2020
1.0 12v Evolution Manual,Hyundai Hb20s,12.963,R$ 81.770,2022
2.0 16v Limited Automático,Jeep Compass,33.157,R$ 143.870,2019
1.5 Ex 16v Automático,Honda City,19.005,R$ 96.870,2019
1.6 Msi Total Connect Manual,Volkswagen Fox,10.945,R$ 73.170,2022
1.0 Tgdi Limited Automático,Hyundai Creta,866,R$ 139.870,2022
1.6 Freestyle 16v Powershift,Ford Ecosport,53.919,R$ 67.970,2016
2.0 16v Longitude Automático,Jeep Compass,75.888,R$ 114.970,2017
1.8 16v Sport Automático,Jeep Renegade,33.160,R$ 91.870,2019
1.8 Lt 16v Automático,Chevrolet Cruze,63.658,R$ 72.770,2015
1.6 16v Allure Automático,Peugeot 2008,48.134,R$ 74.970,2019
1.4 Turbo Lt 16v Automático,Chevrolet Cruze,54.152,R$ 107.670,2020
1.5 Ti-vct Se Automático,Ford Ka,32.410,R$ 67.870,2019
1.5 16v Turbo Touring Cvt,Honda Civic,39.471,R$ 144.880,2020
2.0 4x4 Awd 16v Automático,Mitsubishi Asx,49.961,R$ 86.970,2016
1.8 16v Evo Freedom Open Edition At6,Fiat Toro,59.407,R$ 98.970,2017
1.6 16v Sce Expression Manual,Renault Duster,4.624,R$ 83.970,2020
1.6 Comfort Plus 16v Automático,Hyundai Hb20,38.547,R$ 71.870,2019
1.8 Lt Sport6 16v Automático,Chevrolet Cruze,95.000,R$ 61.870,2013
1.8 16v Sport Automático,Jeep Renegade,56.078,R$ 78.870,2016
1.4 Mpfi Lt 8v Manual,Chevrolet Onix,67.477,R$ 60.770,2019
1.4 Mpfi Lt 8v Manual,Chevrolet Onix,60.978,R$ 60.770,2019
1.8 Gls 16v Automático,Hyundai Elantra,42.332,R$ 69.570,2013
1.5 Sigma Se Manual,Ford Ka,63.278,R$ 53.770,2018
1.6 Msi Total Xtreme Manual,Volkswagen Fox,14.253,R$ 74.870,2021
2.0 Mpi 4x2 16v Manual,Hyundai Ix35,53.592,R$ 72.770,2013
1.0 Turbo Premier Automático,Chevrolet Onix,17.187,R$ 92.870,2020
1.6 Comfort Plus 16v Automático,Hyundai Hb20s,88.078,R$ 64.770,2016
1.6 Premium 16v Automático,Hyundai Hb20,62.674,R$ 65.970,2016
1.8 16v Sport Automático,Jeep Renegade,72.941,R$ 78.870,2016
2.0 Dynamic 4wd 16v Automático,Land rover Range rover evoque,64.696,R$ 139.870,2013
1.8 16v Sport Automático,Jeep Renegade,41.184,R$ 80.570,2016
1.5 16v Xs Connect Multidrive,Toyota Yaris,7.833,R$ 96.570,2020
1.6 Vti 120 Feel Business Eat6,Citroen C4 cactus,42.429,R$ 85.270,2020
1.5 16v Sedan Xls Multidrive,Toyota Yaris,15.858,R$ 93.870,2019
1.8 Mpfi Ltz 4x2 16v Automático,Chevrolet Tracker,42.378,R$ 81.770,2016
1.8 16v Evo Freedom Open Edition At6,Fiat Toro,81.349,R$ 95.870,2017
1.4 Mpi Freedom Cd 8v Manual,Fiat Strada,48.415,R$ 86.870,2020
1.8 Gli Upper 16v Automático,Toyota Corolla,63.549,R$ 99.870,2019
1.0 Unique 12v Manual,Hyundai Hb20,61.223,R$ 56.970,2019
1.6 Cgi 16v Turbo Automático,Mercedes-benz C 180,92.212,R$ 129.970,2016
1.4 16v Turbo Premier Automático,Chevrolet Tracker,51.474,R$ 98.870,2018
