car_description,car_name,km_traveled,value,year
1.0 Mpfi Joy 8v Manual,Chevrolet Onix,81.797,R$ 50.870,2018
1.0 Evo Like. Manual,Fiat Mobi,23.033,R$ 49.370,2019
1.0 8v Evo Like. Manual,Fiat Mobi,27.538,R$ 47.870,2018
1.0 Mpfi Joy 8v Manual,Chevrolet Onix,80.700,R$ 50.880,2019
1.0 Mpfi Joy 8v Manual,Chevrolet Onix,40.363,R$ 54.870,2019
1.0 Mpfi Joy 8v Manual,Chevrolet Onix,46.608,R$ 54.870,2019
1.0 Mpfi Joy 8v Manual,Chevrolet Onix,42.230,R$ 54.870,2019
1.0 Mpfi Joy 8v Manual,Chevrolet Onix,47.708,R$ 54.870,2019
1.0 Mpfi Joy 8v Manual,Chevrolet Onix,34.180,R$ 54.870,2019
1.0 Mpfi Joy 8v Manual,Chevrolet Onix,56.153,R$ 54.670,2019
1.6 16v Vision Automático,Hyundai Hb20,39.142,R$ 77.770,2020
1.4 Turbo Lt 16v Automático,Chevrolet Cruze,52.641,R$ 99.770,2019
1.6 Msi Total Automático,Volkswagen Polo,49.388,R$ 74.970,2020
1.0 Fire Attractive Manual,Fiat Uno,60.234,R$ 46.470,2019
1.0 Firefly Drive Manual,Fiat Argo,52.286,R$ 60.970,2020
1.0 Mpfi Joy 8v Manual,Chevrolet Onix,42.910,R$ 58.270,2020
1.0 Evo Like. Manual,Fiat Mobi,27.538,R$ 47.970,2019
1.0 Mpfi Lt 8v Manual,Chevrolet Onix,47.587,R$ 59.670,2019
1.0 8v Evo Like. Manual,Fiat Mobi,33.772,R$ 46.870,2018
1.0 Evo Like. Manual,Fiat Mobi,33.742,R$ 47.970,2019
1.0 Mpfi Joy 8v Manual,Chevrolet Onix,72.873,R$ 51.870,2018
1.0 Evo Like. Manual,Fiat Mobi,27.074,R$ 47.970,2019
1.0 Evo Like. Manual,Fiat Mobi,23.737,R$ 48.970,2019
1.0 8v Evo Like. Manual,Fiat Mobi,28.822,R$ 47.870,2018
1.0 Mpfi Joy 8v Manual,Chevrolet Onix,49.284,R$ 54.670,2019
1.0 Mpfi Joy 8v Manual,Chevrolet Onix,83.551,R$ 50.880,2019
1.6 Msi Robust Cs 8v Manual,Volkswagen Saveiro,47.435,R$ 62.270,2019
1.6 Msi Robust Cs 8v Manual,Volkswagen Saveiro,38.560,R$ 62.270,2019
1.0 Evo Like. Manual,Fiat Mobi,79.453,R$ 44.480,2019
1.0 Evo Like. Manual,Fiat Mobi,66.319,R$ 46.870,2019
1.6 Msi Totalflex Manual,Volkswagen Voyage,48.392,R$ 57.970,2019
1.0 Fire Attractive Manual,Fiat Uno,63.578,R$ 46.470,2019
1.6 Mi Rock In Rio 8v Manual,Volkswagen Fox,47.701,R$ 54.970,2016
2.8 Srx 4x4 Cd 16v Diesel Automático,Toyota Hilux,75.519,R$ 237.870,2018
1.0 8v Evo Like. Manual,Fiat Mobi,26.844,R$ 47.870,2018
1.0 12v Sce Zen Manual,Renault Kwid,27.562,R$ 51.870,2021
2.0 16v Turbo Diesel Ranch 4wd At9,Fiat Toro,44.343,R$ 155.880,2020
2.0 16v Prestige Automático,Hyundai Creta,48.396,R$ 101.970,2018
1.8 16v Evo Endurance At6,Fiat Toro,41.186,R$ 101.670,2020
1.6 Msi Totalflex Manual,Volkswagen Gol,36.220,R$ 54.870,2019
1.8 Mpi Essence 7l 16v Manual,Fiat Doblo,42.103,R$ 81.970,2020
1.0 12v Sce Authentique Manual,Renault Sandero,102.704,R$ 45.970,2019
1.6 Msi Totalflex Manual,Volkswagen Gol,62.371,R$ 51.970,2019
1.6 16v Sce Intense X-tronic,Renault Sandero,69.167,R$ 70.870,2020
1.6 Comfort Plus 16v Automático,Hyundai Hb20,58.411,R$ 70.870,2019
1.0 200 Tsi Total Comfortline Automático,Volkswagen T-cross,54.869,R$ 111.970,2020
1.0 12v Mpi Totalflex Manual,Volkswagen Gol,96.352,R$ 50.080,2020
1.0 Evo Like. Manual,Fiat Mobi,86.397,R$ 44.480,2019
1.0 12v Sce Authentique Manual,Renault Sandero,84.522,R$ 45.970,2019
1.0 Evo Like. Manual,Fiat Mobi,93.079,R$ 44.480,2019
1.0 Fire Attractive Manual,Fiat Uno,65.800,R$ 47.870,2020
1.0 Evo Like. Manual,Fiat Mobi,38.898,R$ 49.870,2020
2.0 16v Longitude Automático,Jeep Compass,22.736,R$ 129.270,2019
1.0 Fire Attractive Manual,Fiat Uno,71.410,R$ 47.280,2020
1.0 8v Evo Like. Manual,Fiat Mobi,67.751,R$ 46.370,2018
1.6 Cgi Avantgarde 16v Turbo Automático,Mercedes-benz C 180,81.097,R$ 145.070,2017
1.8 16v Sport Manual,Jeep Renegade,44.907,R$ 80.970,2018
1.0 Firefly Manual,Fiat Argo,54.412,R$ 58.870,2019
2.0 16v Longitude Automático,Jeep Compass,46.735,R$ 126.870,2019
1.4 Tfsi Attraction S Tronic,Audi Q3,45.099,R$ 138.870,2018
1.0 Evo Like. Manual,Fiat Mobi,62.541,R$ 46.870,2019
2.0 T5 Momentum Awd Geartronic,Volvo Xc 40,67.766,R$ 196.980,2019
1.0 200 Tsi Comfortline Automático,Volkswagen Virtus,46.830,R$ 83.270,2020
1.0 Ti-vct Se Manual,Ford Ka,35.754,R$ 56.570,2020
1.0 Evo Like. Manual,Fiat Mobi,92.507,R$ 44.480,2019
1.6 Msi Total Automático,Volkswagen Polo,61.765,R$ 73.970,2020
1.6 Msi Totalflex Manual,Volkswagen Gol,90.467,R$ 50.880,2019
1.6 Msi Totalflex Manual,Volkswagen Voyage,69.715,R$ 61.970,2021
2.0 Titanium Fwd 16v Automático,Ford Fusion,80.265,R$ 117.870,2018
1.0 Mpfi Joy 8v Manual,Chevrolet Onix,82.828,R$ 50.870,2018
1.8 16v Evo Endurance At6,Fiat Toro,52.991,R$ 100.170,2020
2.0 Dynamic 4wd 16v Automático,Land rover Range rover evoque,87.141,R$ 155.870,2014
2.0 16v Longitude Automático,Jeep Compass,46.964,R$ 120.970,2018
1.0 200 Tsi Comfortline Automático,Volkswagen Polo,48.805,R$ 82.970,2019
2.0 16v Limited Automático,Jeep Compass,67.333,R$ 117.870,2017
2.8 Lt 4x4 16v Turbo Diesel Automático,Chevrolet Trailblazer,86.538,R$ 189.180,2018
2.0 16v Longitude Automático,Jeep Compass,46.799,R$ 128.970,2019
1.6 Vti 120 Live Eat6,Citroen C4 cactus,11.674,R$ 95.970,2021
1.0 Comfort 12v Manual,Hyundai Hb20,80.403,R$ 52.970,2017
1.5 Tendance 8v Manual,Citroen C3,91.231,R$ 46.970,2016
1.6 Mi Trendline 8v Manual,Volkswagen Gol,86.424,R$ 46.970,2016
2.0 Tsi 16v Automático,Volkswagen Fusca,94.613,R$ 107.970,2013
1.6 Msi Totalflex Manual,Volkswagen Voyage,11.248,R$ 64.970,2021
2.0 Tsi Gti 16v Turbo Automático,Volkswagen Golf,44.834,R$ 164.870,2017
2.0 Titanium Fwd 16v Automático,Ford Fusion,70.508,R$ 122.970,2018
1.4 Fire Endurance Cs Manual,Fiat Strada,48.837,R$ 83.470,2021
1.8 16v Sport Manual,Jeep Renegade,67.830,R$ 75.970,2016
1.6 Msi Totalflex Manual,Volkswagen Voyage,40.796,R$ 61.970,2021
1.5 16v Xls Multidrive,Toyota Yaris,75.447,R$ 84.780,2019
1.5 16v Flexone Ex Cvt,Honda Wr-v,89.711,R$ 86.970,2018
1.0 Tgdi Evolution Automático,Hyundai Hb20s,45.481,R$ 82.570,2020
1.8 16v Exl Automático,Honda Hr-v,88.690,R$ 121.880,2020
1.5 16v Xls Multidrive,Toyota Yaris,45.242,R$ 91.770,2019
2.0 Xei 16v Automático,Toyota Corolla,68.258,R$ 114.870,2019
1.5 Mivec Turbo Hpe-s Awd Cvt,Mitsubishi Eclipse cross,81.236,R$ 141.980,2019
1.4 Turbo Ltz 16v Automático,Chevrolet Cruze,75.130,R$ 97.870,2018
2.0 16v Prestige Automático,Hyundai Creta,107.693,R$ 99.980,2019
2.0 16v Turbo Premier Awd Automático,Chevrolet Equinox,55.235,R$ 164.970,2019
1.6 Msi Totalflex Manual,Volkswagen Voyage,46.904,R$ 61.970,2021
3.2 Limited 4x4 Cd 20v Diesel Automático,Ford Ranger,97.148,R$ 159.870,2015
2.0 Tsi Gti 16v Turbo Automático,Volkswagen Golf,107.272,R$ 157.980,2017
1.0 Fire Attractive Manual,Fiat Uno,41.735,R$ 49.870,2020
2.0 Cgi Avantgarde 9g-tronic,Mercedes-benz C 250,81.910,R$ 177.980,2018
3.5 V6 Ex 7l 4wd Automático,Kia Sorento,96.204,R$ 102.970,2014
2.0 Tsi Gti 16v Turbo Automático,Volkswagen Golf,115.550,R$ 145.980,2017
2.0 16v Limited Automático,Jeep Compass,89.339,R$ 116.870,2017
1.5 X Sedan 16v Automático,Toyota Etios,59.378,R$ 68.970,2020
1.8 16v Sport Automático,Jeep Renegade,40.221,R$ 80.970,2016
1.8 16v Sport Automático,Jeep Renegade,50.695,R$ 78.870,2016
1.0 Fire Attractive Manual,Fiat Uno,70.329,R$ 46.470,2019
2.0 Mpfi Gl 16v Automático,Hyundai Ix35,37.954,R$ 103.900,2018
1.8 16v Evo Endurance At6,Fiat Toro,43.340,R$ 101.670,2020
1.6 Griffe Thp 16v Automático,Peugeot 3008,61.458,R$ 154.970,2019
1.8 16v Ex Automático,Honda Hr-v,48.833,R$ 116.870,2019
2.0 16v Longitude Automático,Jeep Compass,49.634,R$ 127.970,2019
1.6 Msi Totalflex Manual,Volkswagen Voyage,41.329,R$ 61.970,2021
1.6 Msi Totalflex Manual,Volkswagen Voyage,38.616,R$ 61.970,2021
1.3 Firefly Trekking Manual,Fiat Argo,18.170,R$ 79.970,2021
2.0 T5 Momentum Awd Geartronic,Volvo Xc60,68.500,R$ 219.870,2018
2.0 16v Longitude Automático,Jeep Compass,58.949,R$ 125.670,2019
2.0 16v Tsi Bluemotion Highline Dsg,Volkswagen Passat,50.144,R$ 157.870,2018
2.0 Titanium Awd 16v Automático,Ford Fusion,88.591,R$ 114.870,2017
1.6 Msi Total Automático,Volkswagen Polo,50.531,R$ 74.970,2020
1.6 Vti 120 Live Eat6,Citroen Aircross,86.258,R$ 66.480,2019
1.5 12v Twinpower Turbo Cooper Steptronic,Mini Countryman,77.040,R$ 137.980,2018
1.0 Unique 12v Manual,Hyundai Hb20,49.830,R$ 57.870,2019
1.6 16v Sce Intense X-tronic,Renault Captur,36.319,R$ 97.770,2021
1.6 16v Sce Bose X-tronic,Renault Captur,42.114,R$ 104.870,2021
2.0 Tfsi Attraction S Tronic,Audi A4,76.000,R$ 129.070,2018
2.0 16v Turbo Activeflex Sdrive20i Automático,Bmw X1,28.689,R$ 161.970,2017
1.0 Ecoboost Sel Style Powershift,Ford Fiesta,60.053,R$ 69.970,2018
2.7 Srv 4x2 Cd 16v Automático,Toyota Hilux,96.368,R$ 157.870,2017
1.0 12v Sce Authentique Manual,Renault Logan,106.597,R$ 45.970,2018
1.6 16v T-gdi Gls Ecoshift,Hyundai Tucson,20.849,R$ 169.870,2021
2.0 16v Flexone Ex Cvt,Honda Civic,37.453,R$ 126.970,2020
1.8 16v Sport Automático,Jeep Renegade,47.175,R$ 91.870,2019
1.4 250 Tsi Total Highline Automático,Volkswagen T-cross,41.903,R$ 115.870,2020
3.0 24v Turbo M Sport Automático,Bmw 540i,72.407,R$ 298.970,2018
1.5 16v Sedan Xls Multidrive,Toyota Yaris,21.595,R$ 98.970,2020
1.8 16v Evo Endurance At6,Fiat Toro,44.787,R$ 101.670,2020
2.0 16v Longitude Automático,Jeep Compass,44.302,R$ 131.270,2020
1.0 12v Mpi Totalflex Manual,Volkswagen Gol,50.098,R$ 56.370,2021
1.8 16v Evo Endurance At6,Fiat Toro,26.872,R$ 107.970,2021
1.6 Msi Total Connect Manual,Volkswagen Fox,71.045,R$ 60.870,2019
1.0 Mpfi Lt 8v Manual,Chevrolet Prisma,70.582,R$ 46.870,2014
1.6 Se Hatch 16v Manual,Ford Fiesta,84.069,R$ 53.670,2017
1.0 12v Sce Zen Manual,Renault Sandero,4.622,R$ 74.970,2022
3.0 V6 Tdi Diesel Highline Cd 4motion Automático,Volkswagen Amarok,87.009,R$ 220.480,2019
1.0 Unique 12v Manual,Hyundai Hb20,58.359,R$ 57.870,2019
1.6 Msi Total Manual,Volkswagen Virtus,50.247,R$ 74.870,2020
1.5 Ti-vct Freestyle Automático,Ford Ecosport,17.711,R$ 93.570,2020
1.0 Evo Like. Manual,Fiat Mobi,34.446,R$ 47.970,2019
1.8 E.torq Hgt At6,Fiat Argo,48.655,R$ 75.870,2018
1.0 Mpi Move Up 12v Manual,Volkswagen Up,58.581,R$ 56.970,2017
1.0 Ti-vct Se Plus Manual,Ford Ka,57.314,R$ 54.870,2020
2.0 16v Hi-flex Intense Automático,Renault Captur,24.676,R$ 96.270,2021
2.0 16v Hi-flex Intense Automático,Renault Captur,28.875,R$ 96.270,2021
1.6 Msi Total Connect Manual,Volkswagen Fox,83.572,R$ 56.880,2019
1.6 16v Sce Bose X-tronic,Renault Captur,29.982,R$ 106.870,2021
1.6 16v Sce Intense X-tronic,Renault Captur,29.826,R$ 98.770,2021
1.0 200 Tsi Highline Automático,Volkswagen Polo,57.100,R$ 93.870,2020
1.6 Allure Thp 16v Automático,Peugeot 3008,41.000,R$ 172.070,2020
1.4 Tsi Highline 16v Total Tiptronic,Volkswagen Golf,37.487,R$ 117.870,2017
2.0 16v Hi-flex Intense Automático,Renault Captur,22.578,R$ 96.770,2021
1.4 Mpfi Ltz 8v Manual,Chevrolet Prisma,97.822,R$ 66.280,2019
2.0 16v Longitude Automático,Jeep Compass,40.521,R$ 131.270,2020
2.0 16v Longitude Automático,Jeep Compass,33.720,R$ 120.970,2018
1.0 Mpfi Joy 8v Manual,Chevrolet Onix,50.649,R$ 56.870,2020
1.6 16v Sce Intense X-tronic,Renault Captur,24.100,R$ 98.770,2021
2.0 16v Hi-flex Dynamique Automático,Renault Duster oroch,49.167,R$ 90.470,2020
2.0 16v Hi-flex Intense Automático,Renault Captur,28.608,R$ 96.270,2021
2.0 Xrs 16v Automático,Toyota Corolla,80.084,R$ 108.880,2019
1.8 16v Evo Endurance At6,Fiat Toro,36.632,R$ 107.970,2021
2.0 16v Longitude Automático,Jeep Compass,47.965,R$ 128.980,2020
2.0 Pure Tech 4wd 16v Automático,Land rover Range rover evoque,65.902,R$ 119.970,2012
1.0 12v Sce Authentique Manual,Renault Sandero,101.138,R$ 41.880,2019
1.0 12v Mpi Totalflex Manual,Volkswagen Gol,67.442,R$ 52.770,2020
2.0 T5 Momentum Awd Geartronic,Volvo Xc60,41.922,R$ 273.370,2020
2.0 Se 16v Powershift,Ford Ecosport,85.998,R$ 62.970,2015
1.5 Se 16v Manual,Ford Ka sedan,80.621,R$ 52.870,2018
1.0 Unique 12v Manual,Hyundai Hb20,59.258,R$ 57.870,2019
1.5 Ti-vct Se Manual,Ford Ecosport,18.914,R$ 80.870,2020
1.6 16v Sce Intense X-tronic,Renault Captur,38.767,R$ 97.770,2021
2.0 16v Hi-flex Intense Automático,Renault Captur,29.969,R$ 96.270,2021
1.6 16v Sce Intense X-tronic,Renault Captur,22.283,R$ 99.870,2021
1.8 16v Longitude Automático,Jeep Renegade,88.741,R$ 81.870,2016
1.0 Mpfi Joy 8v Manual,Chevrolet Onix,69.258,R$ 53.870,2019
2.0 16v Hi-flex Intense Automático,Renault Captur,27.373,R$ 96.270,2021
2.0 16v Hi-flex Intense Automático,Renault Captur,34.988,R$ 96.270,2021
2.0 350 Tsi Allspace R-line 4motion Dsg,Volkswagen Tiguan,91.946,R$ 188.980,2018
2.0 16v Hi-flex Intense Automático,Renault Captur,33.102,R$ 96.970,2021
2.0 16v Hi-flex Intense Automático,Renault Captur,20.648,R$ 97.970,2021
1.0 12v Mpi Totalflex Manual,Volkswagen Gol,45.685,R$ 56.370,2021
1.0 Evo Easy Manual,Fiat Mobi,101,R$ 57.770,2021
1.0 12v Sce Zen Manual,Renault Kwid,23.197,R$ 55.870,2022
1.5 16v Sedan Xls Multidrive,Toyota Yaris,29.507,R$ 98.970,2020
2.0 Titanium 16v Powershift,Ford Ecosport,63.820,R$ 63.870,2015
1.4 Tfsi Attraction S Tronic,Audi Q3,60.367,R$ 120.470,2017
1.6 16v Sce Intense X-tronic,Renault Captur,32.851,R$ 98.470,2021
2.0 16v Hi-flex Intense Automático,Renault Captur,22.573,R$ 96.770,2021
1.6 Msi Total Automático,Volkswagen Virtus,51.033,R$ 81.970,2020
1.6 16v Sce Intense X-tronic,Renault Captur,24.198,R$ 98.770,2021
1.6 Msi Total Xtreme Manual,Volkswagen Fox,69.508,R$ 65.870,2019
2.0 Cgi Highway 4matic 9g-tronic,Mercedes-benz Glc 250,42.415,R$ 268.870,2019
1.6 16v Sce Bose X-tronic,Renault Captur,32.793,R$ 106.970,2021
2.0 16v Longitude Automático,Jeep Compass,43.383,R$ 131.270,2020
1.6 16v Sce Bose X-tronic,Renault Captur,20.684,R$ 106.970,2021
2.0 16v Longitude Automático,Jeep Compass,42.999,R$ 131.270,2020
2.0 16v Hi-flex Bose Automático,Renault Captur,30.321,R$ 107.970,2021
1.6 16v Sce Intense X-tronic,Renault Captur,24.824,R$ 98.770,2021
1.6 Msi Total Automático,Volkswagen Polo,47.863,R$ 74.970,2020
2.0 16v Twinpower John Cooper Works Steptronic,Mini Cooper,62.830,R$ 210.980,2019
1.6 Msi Total Automático,Volkswagen Virtus,60.867,R$ 80.970,2020
1.0 200 Tsi Total Comfortline Automático,Volkswagen T-cross,58.066,R$ 111.970,2020
1.6 16v Sce Expression Manual,Renault Duster,42.474,R$ 76.970,2019
2.0 16v Flexone Ex Cvt,Honda Civic,15.467,R$ 125.870,2019
1.4 Tfsi Attraction S Tronic,Audi Q3,91.723,R$ 109.970,2016
1.6 16v Sce Intense X-tronic,Renault Captur,38.254,R$ 97.770,2021
1.8 16v Evo Endurance At6,Fiat Toro,52.021,R$ 105.770,2021
2.0 16v Longitude Automático,Jeep Compass,40.718,R$ 120.970,2018
2.0 16v Turbo Activeflex Sdrive20i Automático,Bmw X1,66.342,R$ 169.870,2018
2.0 Tfsi Attraction Quattro 170cv S Tronic,Audi Q3,97.304,R$ 97.970,2013
1.0 Mpfi Joy 8v Manual,Chevrolet Onix,39.831,R$ 54.870,2019
1.0 12v Mpi Totalflex Trendline Manual,Volkswagen Gol,71.789,R$ 48.870,2018
1.5 16v Turbo Touring Cvt,Honda Civic,60.885,R$ 136.570,2018
2.0 16v Hi-flex Intense Automático,Renault Captur,34.421,R$ 96.270,2021
1.0 200 Tsi Total Comfortline Automático,Volkswagen T-cross,29.342,R$ 117.870,2020
2.0 16v Hi-flex Intense Automático,Renault Captur,21.952,R$ 97.970,2021
2.0 16v Hi-flex Intense Automático,Renault Captur,20.550,R$ 97.970,2021
2.0 16v Hi-flex Intense Automático,Renault Captur,31.548,R$ 96.970,2021
2.0 16v Hi-flex Intense Automático,Renault Captur,24.609,R$ 96.970,2021
1.6 S All4 4x4 16v 184cv Turbo Automático,Mini Countryman,94.368,R$ 124.470,2014
1.8 16v Evo Endurance At6,Fiat Toro,36.509,R$ 101.670,2020
1.0 Ti-vct Se Manual,Ford Ka,87.539,R$ 48.880,2019
1.0 Turbo Plus Lt Automático,Chevrolet Onix,62.916,R$ 80.270,2020
1.0 Turbo Plus Premier Automático,Chevrolet Onix,49.933,R$ 89.870,2020
2.0 Tsi Gti 16v Turbo Automático,Volkswagen Golf,109.596,R$ 134.970,2015
1.4 Mpfi Lt 8v Manual,Chevrolet Prisma,89.310,R$ 59.980,2018
2.0 16v Hi-flex Intense Automático,Renault Captur,24.638,R$ 96.270,2021
2.0 16v Longitude Automático,Jeep Compass,90.546,R$ 119.380,2019
2.0 16v Longitude Automático,Jeep Compass,54.483,R$ 128.270,2020
1.4 Turbo Lt 16v Automático,Chevrolet Cruze,44.834,R$ 99.970,2019
2.0 Xei 16v Automático,Toyota Corolla,53.758,R$ 114.970,2019
1.0 12v Mpi Totalflex Manual,Volkswagen Gol,71.805,R$ 50.080,2020
2.0 T5 Momentum Awd Geartronic,Volvo Xc60,56.892,R$ 269.870,2020
2.0 16v Longitude Automático,Jeep Compass,48.482,R$ 128.980,2020
2.0 Mpfi Gl 16v Automático,Hyundai Ix35,14.760,R$ 155.970,2022
1.6 16v T-gdi Gls Ecoshift,Hyundai Tucson,93.064,R$ 120.780,2018
1.0 Fire Attractive Manual,Fiat Uno,78.868,R$ 47.280,2020
1.0 Firefly Manual,Fiat Argo,18.081,R$ 62.970,2020
1.6 16v Sce Intense X-tronic,Renault Captur,24.465,R$ 98.770,2021
1.4 Turbo Lt 16v Automático,Chevrolet Cruze,21.746,R$ 110.970,2020
1.0 Fire Attractive Manual,Fiat Uno,68.411,R$ 47.870,2020
1.0 Mpfi Joy 8v Manual,Chevrolet Onix,80.968,R$ 50.880,2019
2.5 16v Automático,Ford Fusion,84.383,R$ 78.070,2015
1.0 Comfort Plus 12v Manual,Hyundai Hb20s,54.889,R$ 66.870,2019
1.6 Msi Total Automático,Volkswagen Virtus,51.414,R$ 81.970,2020
1.6 16v Sce Expression Manual,Renault Duster,60.179,R$ 72.970,2018
2.0 Xei 16v Automático,Toyota Corolla,94.132,R$ 107.680,2019
1.0 Mpfi Joy 8v Manual,Chevrolet Onix,70.030,R$ 53.870,2019
1.0 12v Sce Zen Manual,Renault Kwid,24.922,R$ 49.870,2020
1.0 Mi 8v Manual,Volkswagen Fox,88.695,R$ 42.870,2014
1.4 Turbo Sport6 Lt 16v Automático,Chevrolet Cruze,45.894,R$ 103.770,2019
1.0 Fire Attractive Manual,Fiat Uno,76.661,R$ 43.380,2019
1.0 12v Sce Zen Manual,Renault Kwid,12.728,R$ 52.470,2021
2.0 16v Turbo Diesel Ultra 4wd At9,Fiat Toro,36.136,R$ 171.670,2020
1.5 Ti-vct Freestyle Automático,Ford Ecosport,18.092,R$ 89.970,2020
3.0 Tfsi Quattro V6 24v Tiptronic,Audi Q7,71.878,R$ 182.970,2014
1.0 Firefly Drive Manual,Fiat Argo,71.342,R$ 56.970,2018
1.6 16v Pulse Manual,Hyundai Creta,82.124,R$ 90.570,2018
1.8 16v Longitude Automático,Jeep Renegade,41.322,R$ 91.870,2019
2.0 16v Turbo Activeflex Xdrive25i Sport Automático,Bmw X1,81.934,R$ 169.770,2017
1.0 Tgdi Evolution Automático,Hyundai Hb20s,45.223,R$ 82.570,2020
2.0 16v Si4 Turbo Hse Automático,Land rover Discovery sport,86.194,R$ 195.570,2017
1.0 Fire Attractive Manual,Fiat Uno,68.446,R$ 47.870,2020
1.0 Evo Attractive Manual,Fiat Grand siena,73.250,R$ 55.080,2021
1.8 16v Longitude Automático,Jeep Renegade,73.795,R$ 82.870,2016
1.4 Mpi Hard Working Cs 8v Manual,Fiat Strada,51.351,R$ 65.770,2020
1.8 Gli Upper 16v Automático,Toyota Corolla,42.880,R$ 101.970,2019
1.0 Mpfi Joy 8v Manual,Chevrolet Onix,82.281,R$ 50.880,2019
1.0 200 Tsi Highline Automático,Volkswagen Virtus,15.601,R$ 98.870,2020
1.0 200 Tsi Highline Automático,Volkswagen Virtus,40.746,R$ 96.870,2020
1.0 200 Tsi Comfortline Automático,Volkswagen Virtus,69.689,R$ 84.970,2020
1.0 Tgdi Diamond Automático,Hyundai Hb20,43.777,R$ 86.770,2020
1.6 Msi Totalflex Manual,Volkswagen Gol,50.501,R$ 56.870,2020
1.4 Mpi Furgão Hard Working 8v Manual,Fiat Fiorino,50.107,R$ 78.270,2020
1.6 Msi Total Automático,Volkswagen Polo,50.993,R$ 74.970,2020
1.0 Fire Attractive Manual,Fiat Uno,47.404,R$ 49.470,2020
1.0 Fire Attractive Manual,Fiat Uno,73.410,R$ 47.280,2020
1.4 Mpi Hard Working Cs 8v Manual,Fiat Strada,69.652,R$ 64.870,2020
1.5 16v Sedan Xls Multidrive,Toyota Yaris,43.286,R$ 97.170,2020
2.0 Xei 16v Automático,Toyota Corolla,49.616,R$ 107.970,2018
1.6 Comfort Plus 16v Manual,Hyundai Hb20,99.434,R$ 56.870,2016
1.0 Fire Attractive Manual,Fiat Uno,60.406,R$ 47.870,2020
1.0 12v Sce Zen Manual,Renault Logan,79.023,R$ 51.780,2020
1.4 Mpi Hard Working Cs 8v Manual,Fiat Strada,32.099,R$ 63.870,2019
1.4 Tsi Variant Highline 16v Automático,Volkswagen Golf,56.707,R$ 97.970,2016
2.0 Sel 16v Automático,Ford Fusion,57.352,R$ 99.870,2017
1.0 12v Mpi Totalflex Manual,Volkswagen Gol,44.851,R$ 53.870,2020
1.6 Msi Totalflex Manual,Volkswagen Voyage,45.644,R$ 61.970,2021
1.8 Gli Upper 16v Automático,Toyota Corolla,57.134,R$ 95.870,2018
1.6 Msi Total Manual,Volkswagen Virtus,64.126,R$ 74.570,2020
1.5 Ti-vct Freestyle Automático,Ford Ecosport,14.183,R$ 93.570,2020
1.6 Msi Totalflex Manual,Volkswagen Voyage,48.916,R$ 61.970,2021
1.5 16v Xl Plus Connect Multidrive,Toyota Yaris,35.976,R$ 87.970,2020
1.6 Comfort Plus 16v Manual,Hyundai Hb20s,58.179,R$ 70.870,2019
1.0 Mpfi Joy 8v Manual,Chevrolet Onix,59.457,R$ 51.870,2018
1.0 Fire Attractive Manual,Fiat Uno,50.011,R$ 49.470,2020
2.0 Tfsi Sportback Ambiente 16v Multitronic,Audi A5,87.198,R$ 87.970,2012
1.6 Msi Totalflex Manual,Volkswagen Voyage,67.362,R$ 61.970,2021
1.0 200 Tsi Comfortline Automático,Volkswagen Polo,70.015,R$ 81.870,2019
1.0 200 Tsi Comfortline Automático,Volkswagen Polo,89.375,R$ 77.870,2018
1.4 Mpi Attractive 8v Manual,Fiat Grand siena,60.516,R$ 61.270,2021
2.0 Titanium Awd 16v Automático,Ford Fusion,60.762,R$ 89.970,2015
2.0 T4 Momentum Automático,Volvo S60,45.235,R$ 180.970,2020
1.0 200 Tsi Highline Automático,Volkswagen Virtus,23.915,R$ 97.870,2020
1.4 Mpfi Lt 8v Manual,Chevrolet Prisma,51.938,R$ 68.970,2019
1.0 Ti-vct Se Manual,Ford Ka,66.090,R$ 52.570,2019
1.4 Turbo Lt 16v Automático,Chevrolet Cruze,46.210,R$ 99.970,2019
1.8 16v Longitude Automático,Jeep Renegade,97.926,R$ 81.870,2016
1.8 16v Sport Automático,Jeep Renegade,56.558,R$ 89.970,2019
1.0 12v Sce Life Manual,Renault Logan,41.060,R$ 53.970,2020
2.0 Tfsi Attraction 16v 211cv Automático,Audi Q5,129.842,R$ 93.870,2012
1.0 12v Mpi Totalflex Manual,Volkswagen Gol,41.990,R$ 52.870,2019
1.0 Fire Attractive Manual,Fiat Uno,54.854,R$ 47.870,2020
1.0 Unique 12v Manual,Hyundai Hb20,70.816,R$ 56.970,2019
1.0 Unique 12v Manual,Hyundai Hb20,77.697,R$ 53.280,2019
1.0 Comfort 12v Manual,Hyundai Hb20,93.277,R$ 51.470,2016
1.0 Mpfi Joy 8v Manual,Chevrolet Onix,46.105,R$ 54.870,2019
1.8 16v Sport Automático,Jeep Renegade,80.676,R$ 84.980,2019
1.4 16v Turbo Lt Automático,Chevrolet Tracker,52.665,R$ 88.370,2017
2.0 Titanium Fwd 16v Automático,Ford Fusion,82.000,R$ 91.970,2016
1.5 Ti-vct Se Manual,Ford Ka,53.299,R$ 55.370,2019
1.6 Sl 16v Flexstart Xtronic,Nissan March,33.364,R$ 74.870,2020
1.6 Msi Totalflex Trendline Manual,Volkswagen Gol,87.847,R$ 49.470,2018
1.0 Mpfi Joy 8v Manual,Chevrolet Onix,63.813,R$ 53.870,2019
